Title,Price,Rating,Reviews
"노트북/16인치/DDR4 4G/SSD 128G/가성비노트북/슬림/FHD IPS/업무용/사무용/그레이, WIN11 Home, grey, 4GB, 128GB, EZbook-S5max","249,600",5.0,14
"LG전자 울트라PC 15U470 i5-7200U 16G Win10, 16GB, 1256GB, 코어i5, 화이트","395,000",5.0,9
"삼성 NT971B5L i5-6세대/SSD512장착/RAM16GB/WIN10/15.6""/FHD/, NT371B5L, WIN10 Pro, 16GB, 512GB, 코어i5, 블랙","299,000",4.0,11
"삼성 NT551EBE 8세대 i5 램8G SSD256 윈10 중고노트북, 코어i5, 256GB, 8GB, WIN10","329,000",4.5,117
"LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10, 8GB, WIN10 Pro, 1012GB, 코어i5, 화이트","598,000",4.5,415
"네오북 2024 노트북 14.1 셀러론, 화이트, 128GB, 6GB, WIN11 Home, N14GO","259,000",5.0,1
"A급중고/삼성/LG/HP I5 I7 리퍼 중고노트북 리퍼노트북 게이밍노트북 기본SSD장착 WIN10, 삼성 NT200B5C 지포스, WIN10 Pro, 8GB, 128GB, 코어i5, 블랙","179,000",4.0,72
"HP 2024 노트북 15 N100, 실버, 128GB, 4GB, WIN11 S, 15-fd0247TU","391,960",4.5,20
"삼성전자 시리즈3 NT301E5C i5-3210M 4G SSD128 Win10, WIN10 Pro, 4GB, 128GB, 코어i5",,4.5,5
"삼성 NT501R5L I5-6200/8G/SSD256G/15.6/WIN10, WIN10 Pro, 8GB, 256GB, 코어i5, 블랙","249,000",4.5,125
"NT371B5L I7-6820HQ/DDR4 16G/SSD512G/HD530/15.6 FHD/WIN10, 블랙, 코어i7, 512GB, 16GB, WIN10 Pro","398,000",4.5,66
"HP 2024 노트북 15 코어i3 인텔 13세대, 다이아몬드 화이트(커버) + 내추럴 실버(베이스), 512GB, 8GB, WIN11 Home, 15-fd0242TU","602,590",5.0,23
"HP 2024 노트북 15 N-시리즈, 웜 골드 커버 + 내추럴 실버 베이스, 128GB, 8GB, WIN11 S, 15-fd0247TU","419,000",4.5,20
"LG전자 그램 14 화이트 노트북 14Z980 코어i5-8250U 램12GB SSD256GB 윈10 탑재, WIN10 Home, 12GB, 256GB, 코어i5 8250U","598,000",4.5,448
삼성 노트북/NT200B5C/NT371B5J /I5 3320M 4G SSD128G/15.6인치 WIN10 Pro,,4.0,53
"A급중고 레노버 ThinkPad T480 I5-8350U/16G/SSD256GB/UHD620/14인치/WIN10, 블랙, 코어i5, 256GB, 16GB, WIN10 Pro","299,000",5.0,2
