PID,NAME,PRICE,PRODUCT_IMAGE,LOCATION,DELTA_TIME
262896531,급처) 아이폰14 블루 512gb,760000,https://media.bunjang.co.kr/product/262896531_1_1715262147_w{res}.jpg,서울특별시 서대문구 남가좌제2동,1715262147
261447921,아이폰14 256 블루,680000,https://media.bunjang.co.kr/product/261447921_1_1714657937_w{res}.jpg,서울특별시 광진구 구의제1동,1714879554
263706342,액정/외관깨끗 아이폰14 배터리성능94% 화이트 256gb 01448,803000,https://media.bunjang.co.kr/product/263706342_1_1716798918_w{res}.jpg,울산광역시 남구 삼산동,1715914386
263706304,액정/외관깨끗 아이폰14 배터리성능94% 화이트 256gb 01448,803000,https://media.bunjang.co.kr/product/263706304_1_1716798929_w{res}.jpg,울산광역시 남구 삼산동,1715914356
262516703,아이폰14플러스 256기가,700000,https://media.bunjang.co.kr/product/262516703_1_1714977168_w{res}.jpg,경상북도 경산시 하양읍,1714976857
264504872,아이폰14프로 블랙 256gb 배터리88% 상태좋은 중고98만2천팝니다.,982000,https://media.bunjang.co.kr/product/264504872_1_1716461547_w{res}.jpg,서울특별시 강서구 발산제1동,1716461547
243250606,아이폰14 프로 맥스 1테라 블랙 a급,1300000,https://media.bunjang.co.kr/product/243250606_1_1710842203_w{res}.jpg,전라남도 순천시 남제동,1715335321
261957754,아이폰 14프로 256기가,810000,https://media.bunjang.co.kr/product/261957754_1_1714584152_w{res}.jpg,서울특별시 노원구 상계1동,1714736471
262012919,아이폰 14프로 256,900000,https://media.bunjang.co.kr/product/262012919_1_1714564208_w{res}.jpg,충청북도 청주시 서원구 사창동,1714564208
261997381,아이폰14프로 256,930000,https://media.bunjang.co.kr/product/261997381_1_1714557086_w{res}.jpg,경상남도 양산시 물금읍,1714557086
234866261,a+급 아이폰13 128g 핑크 (953),770000,https://media.bunjang.co.kr/product/234866261_1_1693459199_w{res}.jpg,경기도 성남시 분당구 서현1동,1710141964
255817328,아이폰13 미니 256g 화이트,550000,https://media.bunjang.co.kr/product/255817328_1_1709739750_w{res}.jpg,부산광역시 연제구 연산제2동,1709774112
255915590,아이폰 13미니 128gb (케어플러스 포함),550000,https://media.bunjang.co.kr/product/255915590_1_1709820252_w{res}.jpg,전라남도 보성군 보성읍,1709818619
247074103,아이폰13 128g 핑크 한정판매 저렴한 중고폰 [145387],499000,https://media.bunjang.co.kr/product/247074103_1_1708067858_w{res}.jpg,서울특별시 강남구 논현2동,1710213784
254957413,아이폰13미니 128g 블랙 저렴한 한정판매 중고폰 [010355],419000,https://media.bunjang.co.kr/product/254957413_1_1710213063_w{res}.jpg,서울특별시 강남구 논현2동,1710213908
254958062,아이폰13미니 256g 핑크 저렴한 한정판매 중고폰 [145376],459000,https://media.bunjang.co.kr/product/254958062_1_1710213138_w{res}.jpg,서울특별시 강남구 논현2동,1710213915
254957800,아이폰13미니 256g 핑크 저렴한 한정판매 중고폰 [086471],429000,https://media.bunjang.co.kr/product/254957800_1_1710213081_w{res}.jpg,서울특별시 강남구 논현2동,1710213912
255103637,아이폰 13미니 128 핑크,330000,https://media.bunjang.co.kr/product/255103637_1_1709218508_w{res}.jpg,경기도 수원시 권선구 세류3동,1709218496
