data_pid,location,price,time,title,month,brand,series,model,storage,coment
,        경기도 부천시 고강1동      ,210000,,아이폰11 화이트 128기가 박스포함,,애플,아이폰 11,pro,128,"아이폰 11 화이트 128기가 판매합니다. 
필름 깨짐없고요!  기능은 잘 작동합니당

생활기스는 옆 테두리에 살짝 있고요
카메라 정상 작동합니다!
배터리 성능 69프로이고 액정수리받은적 있습니다
구성- 박스와 폰
궁금한거 문의 주시고 직거래 가능합니다!"
,        서울 강남구 역삼1동      ,280000,,아이폰11 보라 128gb,,애플,아이폰 11,regular,128,"후면, 측면은 기스 없으나 액정에 생활기스 있습니다
배터리 교체 한번 했고 현재 80%대입니다"
,        서울 영등포구 여의도동      ,175000,,아이폰 11 화이트 128기가,,애플,아이폰 11,pro,128,"배터리, 액정 사설에서 새제품으로 교환했습니다.
배터리 효울 표시 안되나, 효율은 100프로입니다.
트루톤(자동밝기 조절) 안되고 나머지는 정상입니다.
모서리 찍힘 하나 있는 거 말고는 깨끗합니다.
직거래는 불광미성아파트 3동 경비실 앞에서 가능합니다."
,        경기도 파주시 금촌동      ,210000,,아이폰11프로64기가,,애플,아이폰 11,pro,64,아이폰11프로 64기가팝니다 페이스아이디안되는것외엔하자없습니다 사설수리내역도없습니당
,        울산 울주군 웅촌면      ,11000,,아이폰 11 레드 박스팝니다,,애플,아이폰 11,regular,0,"아이폰 11 레드 박스만 판매합니다
구성품은 없으며 오로지 박스만 판매합니다
가격제안 받습니다
직거래만합니다"
,        경남 창원시 의창구 중동      ,300000,,아이폰 11,,애플,아이폰 11,regular,0,"아이폰 11 레드색상
상태 좋아용"
,        부산 중구 창선동1가      ,150000,,아이폰 11,,애플,아이폰 11,pro,64,"아이폰 11 퍼플 팝니다. 배터리 성능 64프로고
페이스아이디만 안 됩니다 정면 후면 카메라 다 잘되요~ 사설로 수리해서 페이스 아이디가 안됩니다"
,        서울 강서구 화곡제1동      ,320000,,아이폰11  64기 판매 합니다,,애플,아이폰 11,pro,64,"아이폰 11 프로 64기 판매합니다.
89프로 
전체적으로 깨끗합니다 .
터치 도 잘됩니다 카메라 화질도 좋아요 
유심 꼽고 사용. 하시면 됩니다 
필요 하신분 연락 주세요 !!"
,        인천 연수구 송도1동      ,250000,,아이폰 11 pro 팔아요,,애플,아이폰 11,pro,64,"액정은 깨끗하고 작동에 문제없는데 뒤에 유리가 조금 깨졌어요 64gb 성능 72퍼에요 
액정 수리내역있어요 사설에서
쿨거래 네고가능"
,        전남 여수시 소호동      ,300000,,아이폰11 128b 블랙,,애플,아이폰 11,regular,128,"2022.2.10일에 리퍼 받았습니다
실사용은 2년 입니다

액정필름도 풀커버 쓰고 폰케이스도 씌우고 다녀서
전체적으로 깨끗합니다
생활기스 정도는 있습니다
왼쪽 하단쪽에 찍힘 2군데 빼고는 깨끗합니다
배터리 충전하는 단자쪽에도 기스없습니다 

배터리는 82%입니다

혹시 충전기 필요하시면 일반선만 하나 챙겨드릴게요
투명케이스도 필요하시면 새거 챙겨드릴게요"
,        경기도 파주시 운정6동      ,350000,,아이폰11프로 256기가 그린,,애플,아이폰 11,pro,256,아이폰 11프로256기가 그린색상 15프로로 변경 해서 판매 합니다 정말 아끼면서 사용했습니다 상태는 초 s급 입니다 많이 연락 주세요 어느정도 네고 처리 해드립니다
,        충남 아산시 배방읍      ,280000,,아이폰 11프로 256기가,,애플,아이폰 11,pro,256,256기가 배터리74프로에요 앞에 살짝깨짐있고 생활기스 있어요 연락주세요 기기단품입니다 페이스아이디 다되고 수리한적없어요
,        서울 양천구 목5동      ,280000,,아이폰11 보라 128gb,,애플,아이폰 11,regular,128,"아이폰 11 128GB
2020년에 구매했고 정상작동됩니다!

케이스 끼고 다녀서 후면이나 측면은 기스 없는데
액정에는 생활기스 있습니다

박스 있으나 usb to 8핀은 잃어버렸습니다
원하신다면 c to 8핀 만원에 데려가세요"
,        광주 광산구 흑석동      ,250000,,아이폰 11 블랙 128g,,애플,아이폰 11,regular,128,"아이폰 12 블랙
128G
강화유리 부착됨
엘라고 실리콘 케이스
모서리 찍힘있음(사진참고)
카메라섬 모서리 코팅 벗겨짐 있음(사진참고)
사용감 있습니다"
,        경기도 광주시 오포읍      ,13000,,아이폰11프로,,애플,아이폰 11,pro,0,"저번주 금요일에 1만5천 샀는데 실수로 프로를 사서.. 환불 요청 했지만 환불이 안돼어 고민하다 올립니다~
딱 한번 뜯었고여 박스에 살짝 기스가 있습니다 그래도 본체인 케이스는 아무런 기스가 없으니 안심하고 구매해주시길 바래요~"
,        서울 송파구 잠실본동      ,340000,,아이폰 11 프로 256 화이트,,애플,아이폰 11,pro,256,"다른 기종으로 바꾸게 되어 판매합니다 !

23년 2월에 apple 잠실에서 배터리 교체했습니다 

배터리효율 88%

액정 미세 기스 O
오른쪽 하단 작은 찍힘 O
 
필요하시면 미사용 사생활보호필름 1매, 거의 사용하지 않은 링케 투명케이스 드립니다~!!

평일은 오후 7시 이후 직거래 가능합니다

백제고분로 18길 29 gs25편의점 앞"
,        경기도 군포시 산본1동      ,350000,,아이폰 11 프로 64g,,애플,아이폰 11,pro,64,"기기변경하면서 기존사용하던 아이폰 처분합니다
위사진처럼 외형은 깨끗하며 배터리성능 90퍼입니다
기기 단품만 판매합니다.
산본역에서 직거래 가능합니다
네고는 사절입니다."
,        경북 포항시 북구 장성동      ,450000,,아이폰11 퍼플 새상품,,애플,아이폰 11,regular,0,"(기종:아이폰11)
(색상:퍼플)
(새상품입니다)
기스하나 없고 
배터리 성능 100입니다
좀 사가세요 제발 
후회없으실겁니다"
,        서울 서대문구 창천동      ,350000,,아이폰 11pro 256gb 팝니다 s급,,애플,아이폰 11,pro,256,"아이폰 11pro 256gb 팝니다 S급

보시다 시피 액정 뒷판 배터리 모두 교체하였습니다. 업무폰으로 쓰다 필요가없어져 판매를 위해 올수리 하였습니다.
기능상이상없으며 페이스아이디 모두 작동됩니다.

하자라하면 배터리와 액정 인증이 안되어 안내문구뜨는건데 사용하는데 지장은 없습니다. 부품이 정품이 아니긴합니다.

채팅주세요"
