title,coment,region,price
아이폰11pro max 256G 골드 색상,"22년도에 구매했고 배터리는 77%입니다 15로 변경하면서 판매합니다
전면 유리 아주 살짝 찍힘 외에는 파손 부위 없이 깨끗하게 썼어요 충전기는 따로 없고 케이스 여러개 구매했는데 같이 드릴게요 이번이 15로 바꿔서 안 맞네요..","
        경기도 연천군 전곡읍
      ","
        430,000원
      "
아이폰 11 128 or 64 18로 구해요,"저랑 동네 가까우셔서 직거래 또는 퀵배 가능 하신 분만와주세요 (퀵배는 제가 부담합니다)

배터리 오래가면 좋겠어요
앞면만 멀쩡하면 문제 없어요
그렇다고 뒷판이 너무 박살나있으면 곤란해요ㅠㅠ","
        경기도 시흥시 신천동
      ","
        180,000원
      "
아이폰 11프로 방수케이스,"아이폰 11프로 방수케이스
한번도 사용안한 제품입니다

#아이폰
","
        대전 동구 가양1동
      ","
        4,000원
      "
아이폰 11pro 그린 256 팝니다.,"아이폰 11pro 그린 256 팝니다.
밧데리 성능 76% 입니다 케이스랑 액정보호필름 붙여서 기스는 없습니다 처음 살때 받았던 구성품 충전기 유선이어폰 충전젠더 모두 있습니다 부속품은 미사용제품입니다","
        서울 도봉구 창동
      ","
        400,000원
      "
아이폰 11 프로맥스 256g 스페이스 그레이,"아이폰 11 프로맥스 256g 스페이스 그레이
배터리 90% 
22년5월 자급제구매 세컨폰으로 사용

항상 강화유리와 보호케이스 사용해서 
깨끗하게 관리했습니다 

액정,테두리, 뒤판 특S급
구성품은 박스셋, 쓸만한 케이스 두개","
        경기도 성남시 분당구 백현동
      ","
        530,000원
      "
아이폰11pro,"아이폰 11프로 256기가 블랙입니다. 배터리 효율은 71퍼에요
상단부분 찍힘 자국있구요 액정 중앙쪽 기스 살짝 있습니다 필름 끼면 잘 안보이더라구요!
카메라는 필름을 사용해서 잘 작동돼요.
세번째 사진 보시면 액정 미세하게 들어가있어요
제가 직접 가져다드릴 수 있으니 편하게 연락주세요~
빠른 구매순으로 판매하겠습니다~","
        경북 경주시 동천동
      ","
        250,000원
      "
아이폰11프로 64 팝미다,"뒤에 모서리 조금 깨짐
다른건 이상무","
        경북 경산시 진량읍
      ","
        230,000원
      "
아이폰11 프로맥스 256 스페이스그레이 구성품미사용,"안녕하세요.
아이폰11 프로맥스 256GB 스페이스그레이색상입니다.
와이프가 항상 유리필름 케이스 착용해서 사용했던거라 매우 새것같습니다.
액정, 테두리 실기스도 없고
뒷판에 케이스자국? 미세하게만 있습니다.
2년정도 사용했고 작년 9월에 폰바꾸면서 보관만하고있다가 이제서야 올립니다.
박스풀세트로 구성품은 아예 미사용입니다.
추가로 케이스 3개도 같이드립니다.
주중 낮 구로디지털단지역, 퇴근시간이나 주말엔 분당 거래 가능합니다.
궁금하신건 연락주세요~~","
        경기도 성남시 분당구 서현동
      ","
        480,000원
      "
아이폰11 64g 퍼플 팝니다.,"깔끔한 편이며 디테일한 사용감은 사진으로 확인해주시구요.
기계 단품이며 초기화 진행해뒀습니다.
기기 작동 다 이상없고 배터리 80% 성능입니다.
자세히 봐야 보이는 미세한 잔기스는 존재합니다. 

택거시
일반택배 + 4000
반값택배 + 2200","
        경기도 하남시 신장동
      ","
        200,000원
      "
아이폰 11프로 공기계 512GB 100%,"아이폰 11프로 512GB 미드나잇 그린 효율 100%

세컨폰 용도로써서 사용감이 많이 없습니다.

정상해지 후 공장초기화 진행 완료.

공식 수리 및 사설 수리 이력 X

충전, 페이스 아이디, 카메라 등 모든 기능 정상 작동

전면, 후면, 측면 / 찍힘, 긁힘 X, 케이스 함께 사용

배터리 효율 100퍼센트 (사진 참조)

박스 포함, 충전기&케이블 미포함

만나서 확인 후 구매하시면 됩니다.
네고 문의에 답장하지 않습니다. 
현장 네고 요구시 거래하지 않습니다.

중고거래 특성상 교환 / 환불 불가합니다.","
        대구 북구 산격2동
      ","
        540,000원
      "
