title,coment,region,price
갤럭시s20+ 그레이 자급제,"갤럭시s20플러스 제품입니다 
업무폰으로 쓰다가 폰을바꿔서 판매해요 
통화나 카톡하는거 외에 게임이나 어플구동 없었습니다 
상태 무기스,무잔상 깨끗합니다 
용량 256기가이고 자급제 제품입니다 
선택약정,확정기변 다 가능해요 
애기들이나 업무폰으로 쓰실분들 깔끔한폰 구매해가세요","
        인천 미추홀구 주안동
      ","
        250,000원
      "
갤럭시 s20+ 램12GB.  256GB.  22년4월30일개통. kt통시s급,"🍒s20플러스. 🍒🍒22년4월30일개통🍒
🍋최초kt통신이나
🍋3사 개통가능. 알뜰폰
🍋램이무려12GB. sd카드 🍋가능하나. 이폰으로도 🍋충분하구요. 왼쪽상상단 🍋🍋미세멍1개(더이상 크지지××)🍋
🍋실사용 얼마안하고 🍋갈아타서. 밧데리 🍋최고입니다
🍋예민한분 패스
🍋액정 뒷판 ss급
🍋필름새로 교체되어있고
🍋젤리케이스 같이드려요
🍋급한분 밤12시까지 가능
근거리 퀵도가능해요
🍒쿨거래22만원까지🍒
사진꼼꼼이 보시고 톡주세요~^^","
        울산 중구 남외동
      ","
        230,000원
      "
삼성 갤럭시 s20 그레이 팝니다 128기가 A급,"갤럭시 s20 팝니다 128기가  A급
정상해지 
모든유심 호환가능 
S급
뒷면 초기필름 붙어있는 상태로 씀. 
붙어있는상태  
액정 외관 상태 좋습니다 . 

기계단품 

가격 22만","
        경북 경산시 동부동
      ","
        220,000원
      "
갤럭시 노트20,"찍힘 하나 이외 전체적으로 깨끗합니다
배터리 상태도 좋습니다.
액정필름 카메라 필름 케이스 새로 부착했습니다","
        경기도 부천시 고강1동
      ","
        200,000원
      "
갤럭시 노트20 울트라 256g / 미스티 블랙,"최초통화 20년12월  LG U플러스
정상해지 공기계입니다
유심기변,선약 당연 가능합니다.

3월 7일 삼성서비스에서 배터리 교체했습니다.
(결제내역 사진 첨부)

사진에 보시는것처럼 상태 너무 좋구요 구매했을때 붙어있던 보호필름도 그대로 입니다. 
케이스를 사용해서 큰기스는 없는데 지금보니 모서리에 작은찍힘? 스크레치가 있네요(사진참조)
그리고 액정 우측사이드에 작은 흑점하나 있네요.
가지고 있는 새필름 부착했구요 케이스+케이블+충전기 챙겨드려요.

성수역 직거래만 가능합니다.

유심가지고 오셔서 확인바랍니다.
기기점검 시간 충분히 드립니다.

네고사절합니다.","
        서울 성동구 성수2가제3동
      ","
        300,000원
      "
갤럭시노트20 A+급 판매//NO잔상폰,"갤럭시노트20 A+급 판매//NO잔상폰 

갤럭시노트20 A+급 판매합니다.
256기가입니다. 초기통신사 SK구요
정상해지되어서 유심만꼽으면 개통가능!
선불폰,알뜰폰 사용가능!

색이나 핸드폰 상태는 사진보시구요
좌측하단 테두리베젤부분 긁힘제외하면
깔끔합니다. S펜 당연히 정상 사용가능합니다

보증기간은 끝났구요. 잔상 없습니다
액정기스없습니다. 케이스 드립니다!

강화유리보호필름 20매드립니다!
케이스도 3종류 드리겠습니다!
오래사용하려고 비싼돈들여 강화유리필름 20매
샀는데 퀀텀4로 바꾸게되어 판매합니다.

가격은 240,000원 입니다
직거래/택배 다 가능하구요. 직거래는
평택터미널 근처에서 가능합니다! 

연락주세요~","
        경기도 평택시 평택동
      ","
        240,000원
      "
갤럭시 노트 20 울트라 (256G),"*직거래 선호(부평역, 부개역, 용산역, 디지털미디어시티역)
* 사용기간: 30개월 정도
* 상태: 전면부 필름 붙여져있음, 사진상 지저분함은 필름 부분임. 후면부는 1년정도 사용했을때 케이스있는 상태로 한번 떨어뜨렸는데 금이 갔었습니다. 그런데 작동에 이상이 없어서 계속 사용했습니다.
* 카메라 작동을 비롯한 다른 기능에 전혀 하자 없습니다.","
        서울 송파구 오륜동
      ","
        170,000원
      "
갤럭시노트20 5G 판매합니다,"갤럭시노트 20 256GB 풀박 판매합니다.
미스틱브론즈 
KT정상해지폰
액정보호필름  및 케이스 사용으로 액정, 뒷면, 
휴대폰 카메라 깨끗해요.
카메라기능 정상 
휴대폰 모서리부분 생활기스, 찍힘있습니다.
예만하신분은 거래하지 말아주세요.
","
        울산 울주군 삼남읍
      ","
        280,000원
      "
🎀 갤럭시 노트20울트라 256기가 🎀,"노트20울트라 246기가
미세 잔상이 보여 저렴히 보냅니다.

21년 8월 LG 통신사로 개통
상태는 사진처럼 잔기스 하나없이
완전 깨끗합니다!!!!
단지 잔상이 살짝있어서 ...저렴히 팔아요

공기계 정상해지라 유심끼시면 바로사용가능하고 
선택약정할인 모든통신사 이용가능해요 

배터리효율도 좋아요
s펜 , 카메라 , 충전 , 전화,문자

정상작동하는 폰 📱 

구매하실분 채팅주세요  ❤","
        경기도 고양시 덕양구 성사2동
      ","
        330,000원
      "
갤럭시 노트20울트라 5G  256기가  A급,"갤럭시 노트20울트라 5G  256기가  A급
초기화.정상해지 
25% 선약가능 
알뜰폰.유심기변.모든통신사가능 
(유심넣고 바로사용)
잔상 1도없습니다 
액정 (앞.뒤) 기스없으며 
테두리.충전단자 주의로 생활기스 조금있을뿐
아무하자없이 깨끗합니다 
모든기능 아주정상 
방탄보호필름 붙여있습니다 
구성품 (본체. 범퍼케이스 (새상품)","
        전남 목포시 용당1동
      ","
        380,000원
      "
