data_pid,location,price,time,title,month,brand,series,model,storage
259596012,경기도 고양시 일산동구 식사동,380000,2024-06-17 20:14:37,"갤럭시s22(일산,파주) 256기가 화이트 너무 깔끔해서 인기만점!!!",29,삼성,갤럭시 S22,regular,256
272148704,지역정보 없음,351000,2024-06-17 20:14:37,[a급/무잔상] 갤럭시s22 256g 그린 lg #액정깨끗 #보증남음,29,삼성,갤럭시 S22,regular,256
264868675,지역정보 없음,3200,2024-06-03 20:14:37,갤럭시 s22플러스 256 팝니다,29,삼성,갤럭시 S22,plus,256
270742975,경상남도 창원시 마산합포구 반월중앙동,350000,2024-06-10 20:14:37,갤럭시s22플러스 블랙 256기가(sk공기계),29,삼성,갤럭시 S22,plus,256
264851976,지역정보 없음,369000,2024-06-10 20:14:37,(2808)갤럭시s22플러스 256 무잔상 판매,29,삼성,갤럭시 S22,plus,256
261218940,경기도 고양시 일산동구 식사동,310000,2024-06-17 20:14:37,"갤럭시s22(일산,파주) 256기가 블랙 진심 도매가 입니다!!",29,삼성,갤럭시 S22,regular,256
263041824,울산광역시 북구 효문동,443000,2024-06-17 20:14:37,갤럭시s22플러스 sk개통 256기가 무잔상 화이트,29,삼성,갤럭시 S22,plus,256
271655903,지역정보 없음,316000,2024-06-17 20:14:37,[무잔상] 갤럭시s22 256g 블랙 sk #파손x #보증남음,29,삼성,갤럭시 S22,regular,256
270104282,지역정보 없음,509000,2024-06-10 20:14:37,(3900)갤럭시s22울트라 512 판매합니다,29,삼성,갤럭시 S22,Ultra,512
267786484,지역정보 없음,630000,2024-06-03 20:14:37,갤럭시 s22 256g 화이트 (미개봉),29,삼성,갤럭시 S22,regular,256
268129024,부산광역시 수영구 광안제1동,330000,2024-06-10 20:14:37,갤럭시 s22(256)싸게팝니다 (s급),29,삼성,갤럭시 S22,regular,256
269115949,경상남도 창원시 진해구 자은동,375000,2024-06-10 20:14:37,자급제 갤럭시s22울트라256팝니다,29,삼성,갤럭시 S22,Ultra,256
271575443,지역정보 없음,380000,2024-06-17 20:14:37,무잔상깨끗 a+급 갤럭시s22 5g 256g 블랙 (295),29,삼성,갤럭시 S22,regular,256
271563690,지역정보 없음,359000,2024-06-17 20:14:37,(2714)갤럭시s22플러스 256 무잔상 깨끗한기기 판매,29,삼성,갤럭시 S22,plus,256
267965143,서울특별시 노원구 중계2.3동,320000,2024-06-03 20:14:37,갤럭시 s22 블랙 256g,29,삼성,갤럭시 S22,regular,256
271544945,지역정보 없음,328000,2024-06-17 20:14:37,[aa급/무잔상] 갤럭시s22 256g 블랙 lg #액정깨끗,29,삼성,갤럭시 S22,regular,256
266241527,지역정보 없음,390000,2024-06-03 20:14:37,s급 갤럭시 s22 256gb 화이트,29,삼성,갤럭시 S22,regular,256
269017178,지역정보 없음,220000,2024-06-03 20:14:37,갤럭시 s22 256 그린 풀박스 판매,29,삼성,갤럭시 S22,regular,256
265501718,지역정보 없음,370000,2024-06-03 20:14:37,갤럭시 s22울트라 블랙 256기가,29,삼성,갤럭시 S22,Ultra,256
258935078,울산광역시 북구 효문동,440000,2024-06-17 20:14:37,갤럭시s22플러스 (s906) 256기가 화이트 무잔상 aaa급 - 울산,29,삼성,갤럭시 S22,plus,256
271552159,지역정보 없음,328000,2024-06-17 20:14:37,[aa급/무잔상] 갤럭시s22 256g 화이트 lg #액정깨끗,29,삼성,갤럭시 S22,regular,256
270486968,인천광역시 서구 가좌2동,300000,2024-06-10 20:14:37,갤럭시s22 s901 256g 블랙 인천 중고폰매장,29,삼성,갤럭시 S22,regular,256
268390315,대전광역시 대덕구 오정동,550000,2024-06-03 20:14:37,갤럭시 s22 울트라 256gb 와인,29,삼성,갤럭시 S22,Ultra,256
272022886,지역정보 없음,352000,2024-06-17 20:14:37,[할인행사중]aa급/s22플러스 256/보증남음/그린/갤럭시/256g,29,삼성,갤럭시 S22,plus,256
271039939,지역정보 없음,359000,2024-06-10 20:14:37,(2510)갤럭시s22플러스 256 무잔상 판매합니다,29,삼성,갤럭시 S22,plus,256
258033521,부산광역시 중구 남포동,460000,2024-06-03 20:14:37,갤럭시s22울트라 256기가 버건디,29,삼성,갤럭시 S22,Ultra,256
260237879,울산광역시 북구 효문동,449000,2024-06-10 20:14:37,갤럭시s22플러스 (s906) 256gb 화이트 aaa급,29,삼성,갤럭시 S22,plus,256
271847223,지역정보 없음,456000,2024-06-17 20:14:37,[ss급/무잔상] 갤럭시s22플러스 256g 그린 kt #액정깨끗,29,삼성,갤럭시 S22,plus,256
271831602,경기도 부천시 상동,314820,2024-06-17 20:14:37,갤럭시 s22울트라 lgu+ 블랙 256gb 초특가 판매합니다,29,삼성,갤럭시 S22,Ultra,256
271298556,지역정보 없음,527000,2024-06-17 20:14:37,[바디s급/무잔상] 갤럭시s22울트라 512g 화이트 lg #파손x,29,삼성,갤럭시 S22,Ultra,512
267835781,지역정보 없음,460000,2024-06-03 20:14:37,갤럭시 s22 울트라 / 256g,29,삼성,갤럭시 S22,Ultra,256
259601852,경기도 고양시 일산동구 식사동,320000,2024-06-17 20:14:37,"갤럭시s22(일산,파주) 256기가 화이트 너무 노마진 입니다!!",29,삼성,갤럭시 S22,regular,256
268385202,경상남도 양산시 물금읍,450000,2024-06-03 20:14:37,갤럭시s22울트라(256)화이트,29,삼성,갤럭시 S22,Ultra,256
269874328,지역정보 없음,248000,2024-06-10 20:14:37,(2039)갤럭시s22 256gb 깨끗한기기 판매,29,삼성,갤럭시 S22,regular,256
270292279,지역정보 없음,309000,2024-06-10 20:14:40,(2601)갤럭시s22 256gb 무잔상 판매합니다,29,삼성,갤럭시 S22,regular,256
267835781,지역정보 없음,460000,2024-06-03 20:14:40,갤럭시 s22 울트라 / 256g,29,삼성,갤럭시 S22,Ultra,256
259601852,경기도 고양시 일산동구 식사동,320000,2024-06-17 20:14:40,"갤럭시s22(일산,파주) 256기가 화이트 너무 노마진 입니다!!",29,삼성,갤럭시 S22,regular,256
268385202,경상남도 양산시 물금읍,450000,2024-06-03 20:14:40,갤럭시s22울트라(256)화이트,29,삼성,갤럭시 S22,Ultra,256
267767619,대전광역시 대덕구 오정동,550000,2024-06-03 20:14:40,갤럭시 s22 울트라 256gb 그린,29,삼성,갤럭시 S22,Ultra,256
251456545,인천광역시 서구 청라1동,680000,2024-06-10 20:14:40,[갤럭시s22울트라]256gb/그린색상/판매해요/56220,29,삼성,갤럭시 S22,Ultra,256
269430016,서울특별시 관악구 대학동,400000,2024-06-10 20:14:40,갤럭시s22 화이트 256 액정 배터리 교체품,29,삼성,갤럭시 S22,regular,256
