data_pid,location,price,time,title,month,brand,series,model,storage
262291892,경기도 성남시 분당구 금곡동,1300000,2024-05-25 20:09:24,갤럭시s24 울트라 블랙 512gb 자급제폰 판매합니다 (삼케플o),6,삼성,갤럭시 S24,Ultra,512
260642211,경기도 광명시 광명1동,1400000,2024-04-25 20:09:24,갤럭시 s24 울트라 옐로우1tb 새상품,6,삼성,갤럭시 S24,Ultra,1TB
261569513,경기도 남양주시 호평동,1550000,2024-05-25 20:09:24,갤럭시 s24 울트라 티타늄 그레이 512gb 자급제 갤럭시워치6 44m,6,삼성,갤럭시 S24,Ultra,512
261104176,경기도 의정부시 의정부3동,1100000,2024-04-25 20:09:24,갤럭시s24플러스 256 블랙 미개봉 판매합니다!,6,삼성,갤럭시 S24,plus,256
260457142,경기도 안산시 상록구 본오1동,870000,2024-04-25 20:09:24,갤럭시 s24플러스 256 급매,6,삼성,갤럭시 S24,plus,256
260622806,서울특별시 송파구 잠실2동,1650000,2024-04-25 20:09:24,삼성 갤럭시 s24 울트라 1tb s급,6,삼성,갤럭시 S24,Ultra,1TB
260193001,서울특별시 서대문구 홍제제1동,1200000,2024-04-25 20:09:24,갤럭시s24울트라 ( 512g ),6,삼성,갤럭시 S24,Ultra,512
261353721,충청남도 예산군 예산읍,790000,2024-04-25 20:09:24,갤럭시 s24 256g 그레이 단순개봉 최저가팔아요,6,삼성,갤럭시 S24,regular,256
260944267,경기도 평택시 포승읍,1100000,2024-04-25 20:09:24,3주 사용)갤럭시s24 플러스 512gb 블랙 자급제,6,삼성,갤럭시 S24,plus,512
260466966,강원특별자치도 춘천시 퇴계동,780000,2024-04-25 20:09:24,갤럭시s24 256기가 오닉스블랙,6,삼성,갤럭시 S24,regular,256
261299849,인천광역시 미추홀구 용현5동,1400000,2024-04-25 20:09:24,갤럭시 s24 울트라 512gb 블랙 자급제(24.04.18개통),6,삼성,갤럭시 S24,Ultra,512
259452207,서울특별시 금천구 가산동,920000,2024-04-25 20:09:24,갤럭시s24 256기가[자급제]미개봉,6,삼성,갤럭시 S24,regular,256
260470625,경상남도 거창군 거창읍,790000,2024-04-25 20:09:24,갤럭시 s24 256gb 판매합니다.,6,삼성,갤럭시 S24,regular,256
260538572,서울특별시 은평구 역촌동,1060000,2024-04-25 20:09:24,갤럭시 s24 플러스 256g 자급제 오닉스 블랙,6,삼성,갤럭시 S24,plus,256
260932721,부산광역시 수영구 민락동,950000,2024-04-25 20:09:24,갤럭시s24플러스 256기가 마블그레이 s급 팝니다,6,삼성,갤럭시 S24,plus,256
260350137,경기도 수원시 영통구 원천동,1360000,2024-04-25 20:09:24,갤럭시 s24울트라 256 자급제 미개봉,6,삼성,갤럭시 S24,Ultra,256
260235808,전라북도 전주시 완산구 중화산2동,1100000,2024-04-25 20:09:24,갤럭시s24+  검정 512기가,6,삼성,갤럭시 S24,regular,512
260425989,전라남도 목포시 하당동,1200000,2024-04-25 20:09:24,갤럭시s24 울트라 256 티타늄블랙,6,삼성,갤럭시 S24,Ultra,256
260649132,경기도 의정부시 송산2동,930000,2024-04-25 20:09:24,새상품급 유심기변 갤럭시 s24플러스 마블그레이 256기가,6,삼성,갤럭시 S24,plus,256
260874901,부산광역시 부산진구 전포제1동,900000,2024-04-25 20:09:24,미개봉 새제품 자급제 삼성 갤럭시 s24 256gb그레이 색상,6,삼성,갤럭시 S24,regular,256
260863932,서울특별시 은평구 진관동,990000,2024-04-25 20:09:24,갤럭시s24 플러스 256기가 자급제 s급 판매합니다.,6,삼성,갤럭시 S24,plus,256
255195414,충청북도 청주시 청원구 율량.사천동,1080000,2024-04-25 20:09:24,(미개봉)삼성 갤럭시 s24플러스 자급제 블랙 256,6,삼성,갤럭시 S24,plus,256
260473841,경기도 용인시 처인구 양지면,1500000,2024-04-25 20:09:24,삼성 갤럭시s24울트라 512g 티타늄바이올렛자급제 미개봉,6,삼성,갤럭시 S24,Ultra,512
260374270,울산광역시 울주군 온산읍,1090000,2024-04-25 20:09:24,갤럭시 s24 플러스 256기가 가개통,6,삼성,갤럭시 S24,plus,256
260131983,대구광역시 북구 산격2동,1280000,2024-04-25 20:09:24,미개봉 갤럭시s24울트라 256gb 검은색 팝니다,6,삼성,갤럭시 S24,Ultra,256
261253520,서울특별시 광진구 군자동,950000,2024-05-25 20:09:24,갤럭시s24플러스 512기가 바이올렛 s급풀박스(정상해지),6,삼성,갤럭시 S24,plus,512
260605455,서울특별시 송파구 가락본동,1480000,2024-04-25 20:09:24,미개봉 자급제 갤럭시s24 울트라 512 티타늄 블랙 팝니다.,6,삼성,갤럭시 S24,Ultra,512
